n, heap_cmp, heap_swaps, heap_time, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time
0,        0,          0,        10,             0,               0,              3,             0,               0,              3,         0,           0,          2
1,        0,          1,        13,             0,               0,              2,             0,               0,              2,         0,           0,          2
2,        1,          3,        21,             1,               0,              7,             1,               0,              6,         4,           1,         24
3,        3,          5,        25,             3,               2,             17,             3,               2,             13,         7,           1,         24
4,        7,          7,        32,             6,               4,             25,             6,               2,             28,        15,           3,         68
5,       12,          9,        66,             9,               6,             59,            10,               4,             41,        23,           5,        112
6,       16,         13,        90,            12,               8,             68,            15,               4,             51,        28,           6,        118
7,       20,         16,        76,            18,              13,             61,            21,               5,             61,        33,           7,        153
8,       27,         22,       143,            19,              13,            116,            28,               5,             81,        39,           8,        172
9,       36,         25,       169,            27,              20,            160,            36,               4,             99,        47,           9,        222
