    n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
    0,        0,          0,        17,         0,           0,          5
    1,        0,          1,        23,         0,           0,          3
    2,        1,          2,        30,         5,           1,         44
    3,        3,          4,        42,         7,           2,         52
    4,        7,          8,        69,        13,           3,         75
    5,       12,         12,        83,        18,           4,         98
    6,       15,         15,       103,        22,           4,        130
    7,       19,         17,       117,        23,           5,        114
    8,       25,         21,       131,        30,           6,        136
    9,       33,         25,       154,        37,           7,        171
   10,       39,         31,       214,        39,           7,        191
   11,       47,         34,       243,        49,           9,        227
   12,       54,         40,       279,        54,          10,        234
   13,       62,         45,       299,        60,           9,        263
   14,       68,         49,       342,        68,          10,        287
   15,       76,         53,       368,        67,          12,        298
   16,       84,         58,       382,        72,          12,        312
   17,       94,         64,       443,        81,          12,        343
   18,      101,         68,       476,        88,          14,        393
   19,      111,         74,       517,        94,          15,        400
   20,      120,         81,       501,       100,          16,        416
   21,      130,         85,       565,       109,          19,        468
   22,      138,         89,       643,       116,          20,        490
   23,      148,         96,       673,       122,          18,        506
   24,      157,        102,       708,       128,          21,        529
   25,      168,        108,       736,       134,          22,        557
   26,      176,        112,       792,       142,          23,        594
   27,      186,        118,       831,       144,          18,        565
   28,      194,        125,       870,       154,          19,        553
   29,      203,        129,       827,       160,          23,        674
   30,      213,        133,       940,       161,          23,        672
   31,      223,        139,       943,       180,          26,        704
   32,      234,        149,       972,       188,          27,        739
   33,      248,        155,      1016,       204,          24,        771
   34,      257,        160,      1045,       211,          26,        805
   35,      269,        166,      1102,       207,          26,        786
   36,      279,        176,      1165,       213,          28,        832
   37,      291,        182,      1067,       217,          30,        780
   38,      302,        191,      1162,       228,          30,        519
   39,      314,        195,       869,       238,          34,        519
   40,      322,        201,      1179,       241,          31,       1258
   41,      336,        207,       790,       253,          34,        545
   42,      345,        214,       795,       260,          32,        691
   43,      357,        220,      2358,       270,          36,       1632
   44,      368,        227,      2547,       280,          38,       1720
   45,      381,        235,      2720,       282,          41,       1776
   46,      393,        239,      1696,       290,          42,        631
