   n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
   0,        0,          0,        20,         0,           0,          7
   1,        0,          1,        28,         0,           0,          5
   2,        1,          3,        48,         4,           2,         54
   3,        3,          5,        61,         7,           2,         54
   4,        7,          9,        98,        13,           5,         93
   5,       12,         11,       103,        17,           6,        114
   6,       16,         13,       128,        23,           8,        162
   7,       21,         16,       152,        24,           8,        219
   8,       27,         22,       211,        27,           8,        173
   9,       35,         26,       250,        35,          11,        222
  10,       41,         30,       290,        39,          13,        260
  11,       49,         34,       306,        45,          14,        292
  12,       55,         39,       332,        50,          14,        128
  13,       63,         43,       162,        58,          17,        139
  14,       69,         48,       177,        63,          19,        194
  15,       76,         52,       293,        66,          19,        351
  16,       83,         58,       372,        73,          21,        327
  17,       94,         63,       415,        74,          18,        315
  18,      102,         69,       463,        82,          22,        366
  19,      112,         75,       517,        92,          25,        396
  20,      120,         82,       531,        98,          26,        420
  21,      130,         87,       574,       106,          28,        458
  22,      138,         91,       609,       116,          31,        502
  23,      148,         97,       640,       119,          32,        522
  24,      156,        102,       684,       125,          33,        538
  25,      166,        108,       741,       129,          32,        549
  26,      174,        113,       738,       133,          31,        534
  27,      184,        118,       794,       143,          35,        622
  28,      192,        124,       896,       151,          37,        619
  29,      202,        130,       804,       158,          39,        664
  30,      210,        137,      1100,       163,          39,       1062
  31,      220,        142,      1540,       173,          41,        958
  32,      230,        148,      1412,       184,          46,       1064
  33,      243,        154,       950,       189,          45,        506
  34,      254,        164,       731,       197,          47,        438
  35,      266,        167,       639,       196,          43,        523
  36,      278,        177,       640,       200,          43,        488
  37,      290,        181,      1802,       215,          50,       1130
  38,      298,        187,      1688,       224,          54,       1178
  39,      311,        195,      1505,       225,          52,        601
  40,      321,        198,       722,       238,          54,        496
  41,      333,        206,       770,       242,          55,        760
  42,      342,        214,       774,       250,          57,        559
  43,      354,        222,      1902,       256,          57,       1472
  44,      364,        228,      2293,       260,          57,       1556
  45,      376,        234,      2566,       266,          59,       1679
  46,      389,        242,      2670,       279,          61,       1724
  47,      399,        247,      2645,       285,          64,       1725
  48,      410,        255,      2655,       293,          65,       1759
  49,      424,        260,      2736,       300,          66,       1759
  50,      434,        270,      2799,       308,          68,       1811
  51,      446,        273,      2843,       318,          70,       1871
  52,      459,        280,      2751,       322,          68,       1828
  53,      470,        287,      2936,       322,          65,       1992
  54,      480,        293,      3266,       338,          73,       2110
  55,      490,        300,      3209,       365,          71,       1907
  56,      503,        308,      3118,       374,          73,       2188
  57,      517,        312,      3504,       361,          75,       2232
  58,      524,        320,      3528,       366,          74,       1283
  59,      535,        327,      1288,       372,          77,        756
  60,      547,        334,      3267,       384,          78,       2108
  61,      560,        339,      3762,       398,          82,       2465
  62,      570,        346,      3896,       409,          84,       2021
  63,      582,        352,      2485,       405,          83,       2475
  64,      592,        355,      3519,       409,          81,       1118
  65,      606,        363,      1615,       424,          87,       1216
  66,      621,        377,      1417,       440,          94,        991
  67,      635,        383,      2552,       447,          93,       2432
  68,      649,        392,      4080,       445,          89,       2699
  69,      664,        398,      4524,       453,          91,       2765
  70,      676,        407,      2174,       463,          95,       1365
  71,      690,        413,      3830,       485,          95,       2288
  72,      703,        423,      2022,       494,          98,       1752
  73,      717,        427,      4113,       486,          96,       2733
  74,      732,        437,      5019,       490,          95,       2720
  75,      743,        445,      3609,       500,          98,       2070
  76,      758,        453,      3675,       513,         101,       1051
  77,      771,        459,      3666,       520,         105,       2869
  78,      784,        468,      5237,       528,         107,       3258
  79,      800,        476,      3638,       545,         113,       1105
  80,      814,        484,      1829,       557,         114,       1973
  81,      826,        488,      3302,       560,         110,       1143
  82,      838,        494,      2959,       559,         108,       2551
  83,      856,        507,      2039,       578,         115,       2109
  84,      867,        511,      5823,       586,         116,       3604
  85,      881,        517,      4342,       593,         117,       1181
  86,      894,        526,      4183,       606,         117,       2190
  87,      908,        534,      4891,       607,         120,       1231
  88,      920,        542,      1975,       614,         120,       1403
  89,      932,        546,      2030,       616,         116,       2171
  90,      947,        558,      2865,       626,         120,       1337
  91,      963,        565,      2781,       650,         126,       1431
  92,      975,        575,      2429,       656,         127,       1417
  93,      990,        580,      2356,       663,         125,       2642
  94,     1003,        590,      3517,       677,         128,       2462
  95,     1019,        600,      2654,       684,         129,       1354
  96,     1029,        601,      3119,       683,         127,       1349
  97,     1039,        609,      2770,       687,         132,       2950
  98,     1053,        616,      4155,       702,         132,       1484
  99,     1073,        631,      3032,       700,         130,       1400
 100,     1084,        636,      2607,       712,         135,       1979
 101,     1101,        640,      4049,       730,         142,       2540
 102,     1116,        654,      3659,       737,         142,       2356
