     n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
     0,        0,          0,        19,         0,           0,          5
     1,        0,          1,        27,         0,           0,          4
     2,        1,          3,        42,         4,           1,         47
     3,        3,          5,        49,         7,           1,         46
     4,        7,          6,        59,        14,           3,         76
     5,       12,         10,        77,        22,           5,        109
     6,       17,         15,       107,        29,           6,        138
     7,       21,         16,       114,        34,           7,        161
     8,       27,         21,       144,        41,           8,        182
     9,       34,         26,       175,        49,           9,        212
    10,       40,         27,       197,        57,           9,        241
    11,       47,         31,       220,        64,          11,        275
    12,       53,         37,       298,        70,          12,        388
    13,       63,         42,       420,        89,          13,        263
    14,       70,         46,       248,        88,          16,        200
    15,       76,         51,       189,        96,          18,        312
    16,       84,         56,       359,       105,          19,        231
    17,       92,         60,       219,       114,          19,        232
    18,      102,         66,       266,       127,          22,        283
    19,      108,         69,       452,       134,          21,        586
    20,      116,         75,       357,       145,          24,        427
    21,      126,         76,       601,       150,          25,        514
    22,      134,         84,       573,       154,          28,        722
    23,      144,         91,       385,       177,          29,        772
    24,      152,         95,       357,       184,          30,        712
    25,      165,        104,       498,       193,          33,        465
    26,      174,        109,       472,       203,          35,        516
    27,      185,        117,       739,       208,          37,        736
    28,      190,        120,       869,       225,          40,       1180
    29,      197,        123,       841,       232,          44,        569
    30,      209,        132,       475,       253,          43,        573
    31,      218,        138,       520,       250,          44,        494
    32,      224,        137,       604,       276,          43,       1328
    33,      240,        147,      1499,       271,          45,       1571
    34,      248,        150,      1665,       271,          49,       1566
    35,      259,        156,      1466,       302,          49,       1421
    36,      267,        159,      1610,       305,          51,        674
    37,      266,        161,      1206,       320,          54,       1728
    38,      278,        167,      1788,       317,          57,       1653
    39,      287,        173,      1910,       328,          59,       1495
    40,      294,        181,      1525,       352,          58,       1834
    41,      311,        187,      1862,       366,          63,       1919
    42,      319,        191,      1866,       373,          60,       1938
    43,      333,        204,      2085,       364,          63,       1971
    44,      343,        208,      2128,       401,          66,       2051
    45,      358,        216,      1866,       384,          63,        981
    46,      368,        215,       828,       420,          66,        923
    47,      383,        226,       863,       446,          64,        822
    48,      398,        237,      1196,       429,          68,        906
    49,      411,        239,      1210,       440,          72,        934
    50,      420,        249,      1257,       473,          66,       1284
    51,      436,        257,      1258,       482,          70,       1814
    52,      443,        258,      1431,       508,          74,       1329
    53,      453,        263,      2769,       502,          82,       2100
    54,      463,        271,      1092,       532,          77,       1446
    55,      483,        284,      1069,       538,          80,       1703
    56,      493,        285,      1356,       553,          82,       1075
    57,      507,        294,      1180,       554,          84,       1274
    58,      517,        300,      1569,       541,          87,       1402
    59,      522,        305,      2960,       569,          89,       1983
    60,      536,        312,      2092,       575,          92,       2259
    61,      547,        319,      2310,       654,          93,       1795
