    n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
    0,        0,          0,        19,         0,           0,          6
  100,     1017,        573,      3867,       988,         231,       3941
  200,     2424,       1334,      9569,      2287,         491,       8360
  300,     4005,       2207,     16277,      3573,         798,      11938
  400,     5684,       3114,     13101,      5426,        1062,      12485
  500,     7419,       4055,     18838,      6731,        1400,      23627
  600,     9213,       4996,     30250,      8536,        1731,      21232
  700,    11088,       6017,     28636,     10165,        2026,      27116
  800,    12982,       7026,     42235,     11969,        2287,      31186
  900,    14960,       8091,     40015,     13599,        2669,      31252
 1000,    16891,       9138,     51775,     15188,        3012,      37583
 1100,    18887,      10179,     70823,     16992,        3345,      68791
 1200,    20861,      11223,     66494,     18658,        3640,      64237
 1300,    22927,      12313,     78601,     20728,        4055,      47126
 1400,    24990,      13431,     67560,     23082,        4365,      67123
 1500,    27117,      14523,    102484,     24143,        4704,      77243
 1600,    29219,      15658,    107536,     27493,        5065,      91873
 1700,    31333,      16780,     94065,     28011,        5458,      89646
 1800,    33473,      17910,    136844,     29401,        5806,     109684
 1900,    35623,      19050,    180099,     31511,        6078,      73430
 2000,    37775,      20176,    123999,     33750,        6522,      88774
 2100,    39929,      21362,    111573,     35496,        6877,      78783
 2200,    42095,      22504,    157510,     37974,        7221,     127741
 2300,    44335,      23677,    189242,     39173,        7567,     132748
 2400,    46520,      24819,    169906,     41221,        7913,     108006
 2500,    48878,      26090,    192149,     43204,        8280,     138127
 2600,    51035,      27185,    265983,     44707,        8659,     161931
 2700,    53363,      28416,    212988,     48250,        9062,     157268
 2800,    55653,      29652,    192565,     49139,        9462,     171971
 2900,    57910,      30868,    271275,     53489,        9721,     233659
 3000,    60219,      32060,    281233,     52654,       10241,     181366
 3100,    62427,      33230,    236933,     55570,       10518,     172335
 3200,    64776,      34500,    220429,     57023,       10916,     152527
 3300,    67096,      35732,    275515,     60246,       11243,     163347
 3400,    69504,      37014,    244028,     61861,       11629,     212492
 3500,    71833,      38266,    275121,     63740,       11997,     179429
 3600,    74136,      39445,    264693,     66582,       12308,     218565
 3700,    76457,      40680,    306690,     67449,       12862,     194055
 3800,    78789,      41917,    274155,     69677,       13175,     171323
 3900,    81086,      43090,    270180,     71256,       13632,     179067
 4000,    83470,      44386,    301574,     77316,       13734,     207554
 4100,    85746,      45592,    408165,     75536,       14283,     234772
 4200,    88193,      46880,    284961,     79556,       14629,     215633
 4300,    90551,      48107,    345636,     80011,       15155,     307755
 4400,    93029,      49438,    332138,     83006,       15474,     236892
 4500,    95380,      50639,    332746,     85546,       15830,     265439
 4600,    97852,      51965,    373600,     86542,       16255,     242015
 4700,   100235,      53184,    322355,     88396,       16672,     252142
 4800,   102823,      54613,    369846,     91555,       17011,     291372
 4900,   105268,      55846,    353188,     92968,       17437,     263717
 5000,   107705,      57174,    335109,     93179,       17946,     260852
 5100,   110152,      58440,    393904,    100207,       18052,     280815
 5200,   112682,      59787,    347864,    101235,       18482,     270019
 5300,   115111,      61040,    432822,    100614,       19095,     295770
 5400,   117578,      62337,    410132,    103793,       19298,     277111
 5500,   120067,      63673,    459836,    106621,       19688,     272615
 5600,   122663,      64993,    461635,    106258,       20220,     319071
 5700,   125110,      66288,    396232,    110051,       20452,     309614
 5800,   127592,      67609,    458283,    111742,       20958,     327263
 5900,   130019,      68880,    416045,    115392,       21240,     343759
 6000,   132548,      70192,    482509,    115870,       21761,     311518
 6100,   134975,      71458,    455283,    118047,       22214,     339356
 6200,   137463,      72792,    665979,    119483,       22629,     427390
 6300,         ,           ,          ,    124339,       22806,     340824
 6400,         ,           ,          ,    126315,       23280,     313313
 6500,         ,           ,          ,    128454,       23608,     358245
 6600,         ,           ,          ,    130924,       24079,     351279
 6700,         ,           ,          ,    132736,       24404,     340962
