   n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
   0,        0,          0,        17,         0,           0,          5
 100,     1035,        590,      4849,       988,         223,       5364
 200,     2434,       1351,      9765,      2389,         490,       8504
 300,     4007,       2208,     18488,      3937,         775,       9316
 400,     5681,       3109,     26917,      5278,        1060,      23516
 500,     7419,       4039,     27258,      6880,        1382,      25457
 600,     9274,       5045,     38474,      8551,        1715,      30322
 700,    11098,       6013,     44956,     10382,        1992,      37304
 800,    13003,       7014,     54484,     11503,        2333,      41731
 900,    14914,       8048,     60152,     13661,        2656,      39735
1000,    16912,       9091,     66871,     15081,        3030,      40859
