  n, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time
  0,        0,          0,        18,         0,           0,          4,             0,               0,              5,             0,               0,              4
  1,        0,          1,        24,         0,           0,          4,             0,               0,              4,             0,               0,              4
  2,        1,          2,        33,         5,           1,         42,             1,               1,             23,             1,               1,             15
  3,        3,          4,        43,         8,           2,         50,             2,               1,             21,             3,               1,             33
  4,        6,          7,        80,        15,           3,         83,             4,               2,             34,             6,               2,             30
  5,       11,         11,        82,        17,           4,         90,             5,               2,             30,            10,               2,             38
  6,       15,         13,        94,        27,           4,        119,            10,               6,             57,            15,               4,             50
  7,       19,         15,       102,        32,           6,        189,            13,               8,            111,            21,               4,             89
  8,       27,         20,       205,        35,           6,        191,            20,              15,            138,            28,               5,             85
  9,       33,         21,       201,        49,           9,        220,            26,              20,            227,            36,               6,            115
 10,       37,         24,       188,        52,          11,        328,            34,              27,            224,            45,               7,            233
 11,       46,         29,       358,        62,          13,        295,            40,              32,            266,            55,               8,            221
 12,       51,         34,       320,        69,          13,        332,            44,              35,            234,            66,               9,            168
 13,       56,         36,       243,        78,          14,        334,            55,              45,            337,            78,               9,            191
 14,       61,         39,       291,        89,          16,        389,            59,              48,            340,            91,              10,            197
 15,       68,         44,       291,        95,          18,        379,            67,              55,            602,           105,              11,            346
 16,       80,         54,       590,        97,          19,        585,            70,              57,            622,           120,              13,            388
 17,       90,         56,       574,       103,          20,        597,            83,              69,            695,           136,              11,            439
 18,       99,         62,       633,       121,          22,        420,            92,              77,            378,           153,              11,            294
 19,      106,         66,       454,       131,          22,        507,            95,              79,            523,           171,              11,            522
 20,      116,         73,       766,       135,          24,        345,           114,              98,            367,           190,              16,            224
 21,      124,         75,       290,       140,          25,        303,           133,             116,            431,           210,              16,            245
 22,      127,         77,       312,       161,          28,        768,           154,             136,            761,           231,              18,            645
 23,      137,         82,       516,       168,          27,        898,           168,             149,           1507,           253,              21,            373
 24,      145,         89,       396,       173,          32,        435,           182,             162,            603,           276,              22,            322
 25,      154,         94,       353,       194,          35,        505,           198,             177,            642,           300,              21,            877
 26,      164,        102,       591,       199,          34,        411,           211,             189,            794,           325,              23,            356
 27,      170,        103,       382,       206,          39,        422,           235,             212,            922,           351,              24,            424
 28,      179,        108,       404,       226,          37,        605,           241,             217,            779,           378,              23,            610
 29,      186,        110,       629,       225,          43,        657,           248,             223,           1216,           406,              25,           1171
 30,      194,        116,       516,       232,          45,        484,           255,             229,            875,           435,              27,            506
 31,      202,        122,      1081,       244,          46,        841,           268,             241,           1020,           465,              27,            538
 32,      217,        131,       492,       249,          44,        722,           280,             252,           1345,           496,              26,           1508
 33,      226,        137,       632,       262,          48,        619,           293,             264,           1018,           528,              26,            805
 34,      242,        144,       562,       313,          46,        744,           321,             291,           1651,           561,              31,           1667
